0.0	2
0.01	1
0.02	6
0.03	5
0.04	5
0.05	8
0.06	4
0.07	5
0.08	1
0.09	7
0.1	5
0.11	2
0.12	2
0.13	4
0.14	9
0.15	3
0.16	2
0.17	5
0.18	4
0.19	5
0.2	4
0.21	6
0.22	6
0.23	2
0.24	3
0.25	5
0.26	7
0.27	8
0.28	6
0.29	7
0.3	2
0.31	7
0.32	6
0.33	6
0.34	7
0.35	3
0.36	5
0.37	8
0.38	10
0.39	6
0.4	8
0.42	4
0.43	2
0.44	7
0.45	6
0.46	6
0.47	9
0.48	8
0.49	4
0.5	10
0.51	4
0.52	7
0.53	7
0.54	3
0.55	4
0.56	2
0.57	1
0.58	9
0.59	5
0.6	4
0.61	10
0.62	2
0.63	6
0.64	4
0.65	6
0.66	4
0.67	2
0.68	10
0.69	4
0.7	6
0.71	6
0.72	4
0.73	4
0.74	4
0.75	5
0.76	3
0.77	9
0.78	4
0.79	4
0.8	7
0.81	4
0.82	1
0.83	5
0.84	4
0.85	2
0.86	3
0.87	2
0.88	6
0.89	8
0.9	1
0.91	3
0.92	4
0.93	4
0.94	4
0.95	6
0.96	10
0.97	8
0.98	2
0.99	8
1.0	2
